category,group_name,whatsapp_link,status
USA Groups,Information Technology Study Group 💯,https://chat.whatsapp.com/GlYVdiTLJvf8A1w3G2G9PT,Active
USA Groups,Cricket blast,https://chat.whatsapp.com/FVVVdCk29gK5hKhqdVTYEH,Active
USA Groups,RAMA@13 INTERNATIONAL ,https://chat.whatsapp.com/D8iFcQlA37g4YWXQXmNXO6,Active
USA Groups,💅Skin & Hair Experts Community☘️✨💄,https://chat.whatsapp.com/GeTnpuk92Us7z8pG8uZFXf,Active
USA Groups,Tiktok Likes And Followers Hasil Karo,https://chat.whatsapp.com/LK6pgLF2Lap9TufbFHgDWI,Active
USA Groups,Cheapest travel ,https://chat.whatsapp.com/CtjZYd5wvBJ4TBr0wrNPDK,Active
USA Groups,Tiktok usa/UK account just 500rs💯,https://chat.whatsapp.com/EBGwT37TYtC7V8WeykLxwA,Active
USA Groups,Active WhatsApp Group,https://chat.whatsapp.com/ILvBbqnTbfHBbdfDMNtDOd,Active
USA Groups,🥰  PAK •• SALLER •• 13 🥰,https://chat.whatsapp.com/CYWWoJHjQIGBvZt0oajhut,Active
USA Groups,Active WhatsApp Group,https://chat.whatsapp.com/GeihRvvLg2DI9PVnr0C8G8,Active
USA Groups,تــجــھــےعـشــق ہــوخــدا کــرۓ,https://chat.whatsapp.com/FKHwfnuzOhsBJhzcT57LgY,Active
USA Groups,Active WhatsApp Group,https://chat.whatsapp.com/HUi8nMf06ju4Pizmek3Xps,Active
USA Groups,Gilget Baltistan and K2 Tourism and Guiding,https://chat.whatsapp.com/ExaJHbZZ0sM6yvSU2RyaBD,Active
USA Groups,IMS EARNG OTP PROGRAM,https://chat.whatsapp.com/D2f1rZKASOf4HziUcWXWh6,Active
USA Groups,Yt Attock group,https://chat.whatsapp.com/JNiC3PUMjYd1KX34yTbh6P,Active
USA Groups,NTL,https://chat.whatsapp.com/L5y2glX9Bae4yZfg25k903,Active
Girls & Friendship,YouTube free subscriber group,https://chat.whatsapp.com/EwHO019yfFe1OhXOh8LD4v,Active
Girls & Friendship,Active WhatsApp Group,https://chat.whatsapp.com/DBEL6OiXd3DCAYbQRSU3lF,Active
Girls & Friendship,Job News1️⃣തൊഴിലവസരങ്ങൾ 👔💼,https://chat.whatsapp.com/JR8ijplvkoDKSd7XDWblC3,Active
Girls & Friendship,Active WhatsApp Group,https://chat.whatsapp.com/LrKsd8qTnVELvSHSfKe2CR,Active
Girls & Friendship,MAK Smart Shop- Online Earning Platform 🤑🤑🤑,https://chat.whatsapp.com/FnGTyLljJqX7OO4pxWSxXa,Active
Girls & Friendship,💐محب اسلام 💐,https://chat.whatsapp.com/KR5DjTAjXH9FDQl8pg1pKg,Active
Girls & Friendship,Cyber Security & Finance,https://chat.whatsapp.com/KWuxL99dlhN0wTmNHMB9qW,Active
Girls & Friendship,सरकारी नौकरी 6,https://chat.whatsapp.com/EoEkf3zyWLUI3cyTOjK20Q,Active
Girls & Friendship,بیــوٹیشــــن کـــورس  💅✨,https://chat.whatsapp.com/DCJE2eQFLCTB7VUgTJxngk,Active
Girls & Friendship,SHAN TRAVELS PVT LTD / 5,https://chat.whatsapp.com/EXkZ0R2chIx1lnvusa9Jja,Active
Girls & Friendship,Work,https://chat.whatsapp.com/G9c00e2SLoXLjHimMEZhxx,Active
Girls & Friendship,❤ girl group pakistan ❤❤💗,https://chat.whatsapp.com/Db9aZFvT2fGF1Nez6c3dsw,Active
